Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hip_motor,0.0194551261869284,-0.0930459309938858,-0.146452078309495,0,0,0,0.193691933258787,0.000212643438550045,2.52842936395237E-08,-3.06353262610855E-08,0.000111361590772374,-3.62933690347635E-07,0.000115174940649883,0,0,0,0,0,0,package://mos_leg_51/meshes/hip_motor.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg_51/meshes/hip_motor.STL,,电机3D模型-4,hip_motor_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_body,0.113371883083303,-0.00893173409426973,-0.000142723342939549,0,0,0,0.994407565035888,0.000920741947553529,5.9477504341373E-08,-1.41358307769493E-07,0.00266050233065782,-3.88325839121468E-07,0.00208351372160783,0,0,0,0,0,0,package://mos_leg_51/meshes/hip_body.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg_51/meshes/hip_body.STL,,电机轴固定-1;前-2;后2-1;电机安装2-1;电机3D模型-1;电机3D模型-2;主电机安装-1;圆锥滚子254212-1;圆锥滚子轴承122713-2;圆锥滚子507215-1;圆锥滚子轴承122713-1,hip_body_coordinate_system,hip_body_x_axis,hip_joint,revolute,-0.232,-0.0931137748892989,-0.146354954727982,0,0,0,hip_motor,-1,0,0,30,3,-0.5,0.5,,,,,,,,
front_gear,-8.18928258539131E-14,-0.0390538870170614,8.06854583146333E-14,0,0,0,0.0385237466196057,9.47389810508479E-06,7.56492562337561E-22,7.62880244624107E-22,1.02723402754827E-05,1.44092350357328E-21,9.47389810508481E-06,0,0,0,0,0,0,package://mos_leg_51/meshes/front_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos_leg_51/meshes/front_gear.STL,,spur gear_gb-25;电机连接件1-1," front_motor_coordinate_system",front_motor_y_axis,font_gear,revolute,0.166000000000082,0.0461500000000458,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
rear_gear,2.77555756156289E-17,-0.0303984035950163,1.78468351208494E-14,0,0,0,0.0482357390578153,1.0744281957417E-05,3.84649778803174E-21,4.92430958410474E-21,1.25106445892168E-05,1.01686787577547E-21,1.0744281957417E-05,0,0,0,0,0,0,package://mos_leg_51/meshes/rear_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos_leg_51/meshes/rear_gear.STL,,电机连接件2-1;spur gear_gb-12,rear_motor_coordinate_system,rear_motor_y_axis,rear_gear,revolute,0.0659999999999999,0.0461499999999995,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
thigh,-0.0334363727266302,-0.00646320958539248,-0.03378325831794,0,0,0,0.218415882803044,0.000380276473573837,1.02303283100001E-05,-0.000289516209462419,0.000728917906995596,1.0336467359847E-05,0.000374299610045337,0,0,0,0,0,0,package://mos_leg_51/meshes/thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg_51/meshes/thigh.STL,,大腿1-1;新轴套-3;spur gear_gb-24,large_shaft_coordinate_system,large_shaft_y_axis,thigh_gear,revolute,0.116,0.0681499999999996,-0.0101000000000015,0,0,0,hip_body,0,-1,0,30,3,-1,1,,,,,,,,
shank,0.0501963925628425,-0.0140210751268604,-0.0375583634821985,0,0,0,0.286222361356515,0.000651861312519635,-9.0760497068014E-07,0.00059808941560027,0.00130942075500998,8.16102370419575E-07,0.000673127969335327,0,0,0,0,0,0,package://mos_leg_51/meshes/shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos_leg_51/meshes/shank.STL,,小腿23-1;小腿12-1;足1-1;足底橡胶12-1,shank_coordinate_system,shank_coordinate_y_axis,shank_middle,continuous,-0.122804058893964,0.0174955906880937,-0.131164562029674,0,0,0,thigh,0,-1,0,,,,,,,,,,,,
shank_gear,-0.0305539081874436,-0.0151800390635338,0.031163163347574,0,0,0,0.171587734867676,0.000249660019311512,4.99779954636461E-06,0.000197761556978693,0.000443409187193007,-5.08968268380674E-06,0.000243414619824575,0,0,0,0,0,0,package://mos_leg_51/meshes/shank_gear.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg_51/meshes/shank_gear.STL,,小腿连杆1-1;spur gear_gb-26;中轴-1,small_shaft_coordinate_system,shank_link_y_axis,shank_gear,revolute,0.116,0.0871499999999995,-0.0100999999999999,0,0,0,hip_body,0,1,0,30,3,-1,1,,,,,,,,
shank_link,-0.0443711312726666,-0.0128234647134589,-0.0571719050658158,0,0,0,0.0469428664864403,9.71589752923396E-05,-3.64701280979714E-07,-5.79918854974176E-05,0.000135916178701613,-4.70048453048716E-07,3.99674340455091E-05,0,0,0,0,0,0,package://mos_leg_51/meshes/shank_link.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg_51/meshes/shank_link.STL,,小腿连杆2-1,shank_link_coordinate_system,shank_link_y_axis,shank_link,continuous,-0.109650305919864,-0.0060044093119062,0.111496767865736,0,0,0,shank_gear,0,1,0,,,,,,,,,,,,
