Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hip_motor,0.0194551261869284,-0.0930459309938847,-0.0556146225087043,0,0,0,0.193691933258787,0.000212643438550045,2.52842936395251E-08,-3.06353262610684E-08,0.000111361590772375,-3.6293369034784E-07,0.000115174940649883,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/hip_motor.STL,1,1,1,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/hip_motor.STL,,电机3D模型-4,hip_motor_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_body,0.113264886696619,-0.010939736154655,0.000155813716184991,0,0,0,0.955506794003184,0.000905573001572805,5.947750436196E-08,-1.41358307936407E-07,0.00263152887558251,-3.88325839084184E-07,0.0020683447756269,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/hip_body.STL,1,1,1,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/hip_body.STL,,电机轴固定-1;前-2;后2-1;电机安装2-1;电机3D模型-1;电机3D模型-2;主电机安装-1;圆锥滚子254212-1,hip_body_coordinate_system,hip_body_x_axis,hip_joint,revolute,-0.232,-0.0931137748892993,-0.055517498927173,0,0,0,hip_motor,-1,0,0,0,0,-0.5,0.5,,,,,,,,
front_gear,-0.0115977379770727,-0.0352783724994292,8.18789480661053E-16,0,0,0,0.0435777838010683,9.83324206309477E-06,8.76575456207127E-22,8.15712421136005E-22,1.08486728108915E-05,-8.72979284537759E-22,9.83324206309479E-06,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/front_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/front_gear.STL,,spur gear_gb-25;电机连接件1-1;圆锥滚子轴承122713-1," front_motor_coordinate_system",front_motor_y_axis,font_gear,revolute,0.166000000000002,0.0461500000000001,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
small_shaft,-0.0283638055421658,-0.0151800435668482,0.0331689181534142,0,0,0,0.171587640340336,0.000276467644126589,4.64008836214695E-06,0.000195508397636774,0.000443409046409564,-5.41780154781775E-06,0.000216606852191212,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/small_shaft.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/small_shaft.STL,,spur gear_gb-26;小腿连杆1-1;中轴-1,small_shaft_coordinate_system,large_shaft_y_axis,small_shaft,revolute,-0.0500000000000008,0.0409999999999993,-0.0100999999999986,0,0,0,front_gear,0,-1,0,0,0,-0.5,0.5,,,,,,,,
shank_link,-0.0389905696407307,-0.0128234649727959,-0.060968573914411,0,0,0,0.0469428771745656,0.000107185813033781,-3.20461030869092E-07,-5.18563116705513E-05,0.000135916196790493,-5.01255334428387E-07,2.99406147340324E-05,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/shank_link.STL,1,1,1,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/shank_link.STL,,小腿连杆2-1,shank_link_coordinate_system,shank_link_y_axis,shank_joint,revolute,-0.101813725620471,-0.00600440931190334,0.118695762806014,0,0,0,small_shaft,0,1,0,0,0,-0.5,0.5,,,,,,,,
rear_gear,0.00948406530882989,-0.0281318633902966,6.38378239159465E-16,0,0,0,0.0532897762392778,1.1103625915427E-05,8.91828107959389E-21,1.73453473662548E-21,1.30869771246257E-05,-2.72849225999803E-21,1.1103625915427E-05,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/rear_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/rear_gear.STL,,电机连接件2-1;spur gear_gb-12;圆锥滚子轴承122713-2,rear_motor_coordinate_system,rear_motor_y_axis,rear_gear,revolute,0.066,0.04615,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
large_shaft_thigh,-0.0313750870206426,-0.0064632093424145,-0.0357057922216403,0,0,0,0.218415891158775,0.000414517155980149,9.59964868887756E-06,-0.000287128133438103,0.000728917927475938,1.09246934672718E-05,0.000340058948918026,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/large_shaft_thigh.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/large_shaft_thigh.STL,,spur gear_gb-24;新轴套-3;大腿1-1,large_shaft_coordinate_system,large_shaft_y_axis,large_shaft_thigh,revolute,0.0500000000000003,0.022,-0.0101000000000003,0,0,0,rear_gear,0,-1,0,0,0,-0.5,0.5,,,,,,,,
shank,0.0454200076937986,-0.0140210809709113,-0.0432126494263227,0,0,0,0.286222521216194,0.000792153683068097,-8.0507838236492E-07,0.000583963212768704,0.00130942149479999,9.17368606622592E-07,0.00053283634405178,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://0729狗腿2.SLDASM/meshes/shank.STL,,小腿23-1;小腿12-1;足1-1;足底橡胶12-1,shank_coordinate_system,shank_coordinate_y_axis,shank,revolute,-0.115405435556015,0.0174955906880945,-0.138872325524697,0,0,0,large_shaft_thigh,0,-1,0,0,0,-0.5,0.5,,,,,,,,
