Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hip_motor,0.0194551261869284,-0.0930459309938858,-0.146452078309495,0,0,0,0.193691933258788,0.000212643438550046,2.52842936395281E-08,-3.06353262610582E-08,0.000111361590772375,-3.62933690347613E-07,0.000115174940649883,0,0,0,0,0,0,package://mos_leg52/meshes/hip_motor.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg52/meshes/hip_motor.STL,,电机3D模型-4,hip_motor_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_body,0.113371883083302,-0.00893173409427045,-0.000142723342939716,0,0,0,0.994407565035914,0.000920741947553536,5.94775043380676E-08,-1.41358307758304E-07,0.00266050233065784,-3.88325839119094E-07,0.00208351372160785,0,0,0,0,0,0,package://mos_leg52/meshes/hip_body.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg52/meshes/hip_body.STL,,电机轴固定-1;前-2;后2-1;电机安装2-1;电机3D模型-1;电机3D模型-2;主电机安装-1;圆锥滚子254212-1;圆锥滚子轴承122713-2;圆锥滚子507215-1;圆锥滚子轴承122713-1,hip_body_coordinate_system,hip_body_x_axis,hip_joint,revolute,-0.232,-0.093114,-0.14635,0,0,0,hip_motor,-1,0,0,30,3,-0.5,0.5,,,,,,,,
front_gear,-8.19205814295287E-14,-0.0390538870170614,7.99638133486269E-14,0,0,0,0.0385237466196058,9.47389810508479E-06,7.24105232570262E-22,1.58246759764786E-21,1.02723402754827E-05,1.41942209438922E-21,9.47389810508481E-06,0,0,0,0,0,0,package://mos_leg52/meshes/front_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos_leg52/meshes/front_gear.STL,,spur gear_gb-25;电机连接件1-1," front_motor_coordinate_system",front_motor_y_axis,font_gear,revolute,0.166,0.04615,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
rear_gear,-1.11022302462516E-15,-0.0303984035950163,1.79856129989275E-14,0,0,0,0.0482357390578153,1.0744281957417E-05,2.99541972605816E-21,5.71319065723848E-21,1.25106445892168E-05,8.50480753893855E-22,1.0744281957417E-05,0,0,0,0,0,0,package://mos_leg52/meshes/rear_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos_leg52/meshes/rear_gear.STL,,电机连接件2-1;spur gear_gb-12,rear_motor_coordinate_system,rear_motor_y_axis,rear_gear,revolute,0.066,0.04615,0,0,0,0,hip_body,0,1,0,0,0,-0.5,0.5,,,,,,,,
thigh,-0.0334363727266321,-0.00646320958539248,-0.0337832583179401,0,0,0,0.218415882803044,0.000380276473573837,1.02303283100001E-05,-0.000289516209462419,0.000728917906995597,1.03364673598469E-05,0.000374299610045337,0,0,0,0,0,0,package://mos_leg52/meshes/thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg52/meshes/thigh.STL,,大腿1-1;新轴套-3;spur gear_gb-24,large_shaft_coordinate_system,large_shaft_y_axis,thigh_gear,revolute,0.116,0.06815,-0.0101,0,0,0,hip_body,0,-1,0,30,3,-1,1,,,,,,,,
shank,0.0501963925591364,-0.014021075126307,-0.0375583634802569,0,0,0,0.286222361372181,0.000651861312520624,-9.07604969125879E-07,0.000598089415604459,0.00130942075503528,8.1610237014393E-07,0.00067312796935984,0,0,0,0,0,0,package://mos_leg52/meshes/shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos_leg52/meshes/shank.STL,,小腿23-1;小腿12-1;足1-1;足底橡胶12-1,shank_coordinate_system,shank_coordinate_y_axis,shank_middle,continuous,-0.1228,0.017496,-0.13116,0,0,0,thigh,0,-1,0,,,,,,,,,,,,
shank_gear,-0.0305539081874453,-0.0151800390635337,0.031163163347574,0,0,0,0.171587734867677,0.000249660019311512,4.99779954636463E-06,0.000197761556978693,0.000443409187193008,-5.08968268380678E-06,0.000243414619824575,0,0,0,0,0,0,package://mos_leg52/meshes/shank_gear.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg52/meshes/shank_gear.STL,,小腿连杆1-1;spur gear_gb-26;中轴-1,small_shaft_coordinate_system,shank_link_y_axis,shank_gear,revolute,0.116,0.08715,-0.0101,0,0,0,hip_body,0,1,0,30,3,-1,1,,,,,,,,
shank_link,-0.0443711312726687,-0.0128234647134589,-0.0571719050658156,0,0,0,0.0469428664864404,9.71589752924468E-05,-3.64701280979704E-07,-5.7991885497864E-05,0.000135916178702011,-4.70048453048693E-07,3.99674340458002E-05,0,0,0,0,0,0,package://mos_leg52/meshes/shank_link.STL,1,1,1,1,0,0,0,0,0,0,package://mos_leg52/meshes/shank_link.STL,,小腿连杆2-1,shank_link_coordinate_system,shank_link_y_axis,shank_link,continuous,-0.10965,-0.0060044,0.1115,0,0,0,shank_gear,0,1,0,,,,,,,,,,,,
